rX,rY,rZ,rSpeed,bX,bY,bSpeed,sX,sY,sZ,sSpeed,dAng,bAng,bZ,bowlerEnd
-8.6891,1.28461,1.92604,90.3634,5.5901,0.495668,72.3898,10.06,-0.0474013,0.755223,65.6327,15.3024,12.269,0.0001,south
-8.6116,1.19609,1.9179,88.2493,4.48451,0.441562,71.5954,10.06,-0.0572275,0.77388,64.3864,15.3748,11.633,0.0001,south
-8.5797,1.24574,1.94737,83.7925,5.40532,0.508963,67.3293,10.06,0.0606297,0.624908,61.0058,16.345,11.1276,0.0001,south
-8.5841,1.22901,1.99039,87.3803,6.98674,0.687837,71.3621,10.06,0.379912,0.606809,67.0249,15.7629,12.6727,0.0001,south
8.3074,-0.828035,1.94439,140.081,-4.38357,0.0469215,116.505,-10.06,0.518268,0.682366,105.822,11.2253,8.05722,0.0001,north
8.2331,-0.834999,1.9238,133.511,-3.28221,-0.113143,112.981,-10.06,0.341804,0.779467,100.431,11.9158,8.22824,0.0001,north
8.4979,-0.706697,1.96443,136.448,-5.82349,0.3399,114.501,-10.06,0.67478,0.53193,106.795,10.663,7.80565,0.0001,north
8.365,0.735981,1.94354,133.389,-2.21353,0.372549,115.89,-10.06,0.151448,0.860706,102.767,12.3489,8.17139,0.0001,north
8.3716,0.882975,1.91531,141.247,-3.96561,0.459106,118.675,-10.06,0.253888,0.678554,107.452,11.2546,7.60133,0.0001,north
8.3597,-0.738075,1.96413,140.281,-10.0026498,0.168209,95.4141,-10.06,0.171513,0.0458002,95.3141,10.1556,10.1975,0.0001,north
-8.5452,1.19679,2.00146,83.9388,6.07394,0.413259,66.0809,10.06,-0.0639582,0.674887,60.5751,15.7495,12.4873,0.0001,south
-8.6994,1.22268,2.00524,82.799,7.44548,0.364519,68.449,10.06,0.169272,0.604287,64.7998,16.9353,14.2058,0.0001,south
-8.5966,1.29558,1.95198,86.1285,6.02278,0.626445,67.0301,10.06,0.235577,0.772809,61.0698,15.7022,13.6734,0.0001,south
-8.5366,1.19896,1.96031,85.3826,5.90979,0.502268,66.5021,10.06,0.142186,0.728962,60.6477,16.0571,12.9277,0.0001,south
-8.6248,1.25527,1.93933,88.512,4.3066,0.265314,74.9225,10.06,-0.518789,0.611651,67.4399,15.0614,9.66252,0.0001,south
-8.5558,1.17864,1.95297,84.8512,4.79312,0.630909,68.5518,10.06,0.23641,0.690698,61.132,16.2604,11.3924,0.0001,south
8.3648,0.35682,1.9856,139.845,-6.43612,0.442065,120.601,-10.06,0.509524,0.481296,113.675,10.0624,7.87389,0.0001,north
8.4685,0.281941,1.9326,143.446,-3.01796,0.244203,118.561,-10.06,0.211339,0.927746,105.747,11.6261,9.11959,0.0001,north
8.324,0.329107,1.94823,142.414,-3.29154,0.251889,119.766,-10.06,0.230269,0.79682,106.527,11.6782,8.19512,0.0001,north
8.5058,0.426042,2.01582,141.129,-1.71738,0.41349,119.156,-10.06,0.436568,0.948412,106.974,12.9412,8.40777,0.0001,north
8.3331,0.396038,1.93987,141.435,-0.0739,0.472166,114.684,-10.06,0.547845,1.27041,110.508,14.5651,9.95644,0.0001,north
8.4561,0.333411,1.94717,143.188,-3.81068,0.185648,119.993,-10.06,0.0901469,0.670147,108.676,11.3145,7.39174,0.0001,north
-8.6924,0.643037,1.96165,140.549,3.20491,0.338225,119.253,10.06,0.175666,0.85206,106.418,11.5055,8.63984,0.0001,south
-8.6309,0.716476,1.94259,139.697,3.87673,0.198157,122.799,10.06,-0.0897202,0.700433,110.667,10.921,7.60774,0.0001,south
-8.5691,0.778864,1.95319,139.015,2.45647,0.499692,123.631,10.06,0.251715,0.817261,109.903,11.7927,7.76684,0.0001,south
-8.8436,0.753365,1.97416,144.251,6.72597,0.209194,120.899,10.06,0.105968,0.422904,114.336,10.2423,7.40723,0.0001,south
-8.7189,1.03294,1.96722,138.797,3.51704,0.522267,118.913,10.06,0.181402,0.73256,107.272,11.3544,7.78199,0.0001,south
-8.5131,0.777236,1.94026,135.686,3.08479,0.454946,117.946,10.06,0.257065,0.777662,106.781,11.5539,7.96944,0.0001,south
8.3807,0.386475,1.97701,146.307,-2.10843,0.44562,123.439,-10.06,0.515417,1.01312,110.448,12.4918,8.93088,0.0001,north
8.4641,0.334313,1.97864,145.451,-3.91384,0.335777,126.225,-10.06,0.321947,0.666755,113.742,11.1069,7.2466,0.0001,north
8.2869,0.379654,1.94351,144.906,1.8597,0.304271,110.871,-10.06,0.337945,1.47819,102.944,17.5991,10.4972,0.0001,north
8.3988,0.3295,1.94088,142.048,2.09,0.292946,110.901,-10.06,0.296682,1.57898,102.493,17.9889,11.0372,0.0001,north
8.1936,0.382854,1.91383,137.574,0.4515,0.503833,111.786,-10.06,0.738706,1.52932,102.436,15.1325,11.3618,0.0001,north
8.2168,0.225215,1.93086,142.396,-6.96249,0.151905,123.421,-10.06,0.137365,0.359489,117.656,10.0764,6.65462,0.0001,north
-8.523,0.846193,1.95474,141.126,2.24949,0.346121,121.88,10.06,-0.0542453,0.856557,108.533,11.8975,7.93243,0.0001,south
-8.6922,0.996777,1.98118,138.105,5.54502,0.631676,119.948,10.06,0.480411,0.55814,110.461,10.4587,7.7607,0.0001,south
